z,qc,fs,u2
6.55,0.24,0.0046,0.188
6.56,0.24,0.0046,0.19
6.57,0.24,0.0046,0.19
6.58,0.24,0.0046,0.189
6.59,0.24,0.0046,0.19
6.6,0.24,0.0046,0.19
6.61,0.24,0.0046,0.193
6.62,0.25,0.0047,0.193
6.63,0.25,0.0047,0.193
6.64,0.25,0.0046,0.196
6.65,0.26,0.0048,0.197
6.66,0.28,0.0046,0.201
6.67,0.28,0.0046,0.201
6.68,0.32,0.0048,0.206
6.69,0.33,0.0049,0.213
6.7,0.33,0.0049,0.201
6.71,0.32,0.0044,0.12
6.72,0.32,0.0043,0.12
6.73,0.3,0.0044,0.043
6.74,0.28,0.0054,0.126
6.75,0.28,0.0054,0.149
6.76,0.26,0.0064,0.184
6.77,0.27,0.0063,0.184
6.78,0.27,0.0061,0.193
6.79,0.26,0.006,0.193
6.8,0.26,0.006,0.196
6.81,0.27,0.0055,0.2
6.82,0.27,0.0056,0.198
6.83,0.27,0.0052,0.201
6.84,0.26,0.005,0.206
6.85,0.27,0.005,0.206
6.86,0.26,0.0047,0.209
6.87,0.26,0.005,0.204
6.88,0.26,0.005,0.201
6.89,0.26,0.005,0.201
6.9,0.26,0.0048,0.202
6.91,0.26,0.005,0.2
6.92,0.26,0.0049,0.2
6.93,0.26,0.0047,0.2
6.94,0.26,0.0047,0.2
6.95,0.26,0.0046,0.202
6.96,0.27,0.0047,0.204
6.97,0.27,0.0047,0.204
6.98,0.26,0.0046,0.204
6.99,0.26,0.0046,0.204
7,0.26,0.0046,0.202
7.01,0.27,0.0047,0.202
7.02,0.27,0.0047,0.204
7.03,0.26,0.0048,0.204
7.04,0.26,0.0047,0.205
7.05,0.26,0.0048,0.202
7.06,0.27,0.005,0.202
7.07,0.27,0.005,0.202
7.08,0.27,0.005,0.205
7.09,0.28,0.005,0.205
7.1,0.27,0.0051,0.208
7.11,0.27,0.005,0.206
7.12,0.27,0.005,0.208
7.13,0.27,0.0051,0.205
7.14,0.28,0.0051,0.206
7.15,0.28,0.0051,0.206
7.16,0.28,0.0051,0.208
7.17,0.28,0.0052,0.209
7.18,0.28,0.0051,0.212
7.19,0.28,0.0051,0.213
7.2,0.28,0.0052,0.213
7.21,0.28,0.0052,0.213
7.22,0.29,0.0054,0.213
7.23,0.29,0.0054,0.209
7.24,0.29,0.0054,0.209
7.25,0.3,0.0054,0.213
7.26,0.29,0.0055,0.217
7.27,0.29,0.0057,0.218
7.28,0.3,0.0058,0.224
7.29,0.3,0.0058,0.224
7.3,0.3,0.006,0.222
7.31,0.3,0.006,0.225
7.32,0.3,0.0061,0.22
7.33,0.3,0.0061,0.22
7.34,0.31,0.0061,0.217
7.35,0.31,0.0063,0.222
7.36,0.31,0.0066,0.225
7.37,0.33,0.0068,0.229
7.38,0.33,0.0068,0.229
7.39,0.33,0.0069,0.234
